0,2,22.3
0,2,22.3
-2,8,22.3
3,1,22.3
-1,1,22.3
-2,1,22.3
2,0,22.3
0,0,22.3
2,10,22.3
1,1,22.3
-3,3,22.3
2,-1,22.3
1,0,22.3
7,10,22.3
-3,5,22.3
-3,3,22.3
2,-1,22.3
-2,4,22.3
-1,7,22.3
2,0,22.3
-2,2,22.3
1,-1,22.3
1,0,22.3
4,10,22.3
-2,3,22.3
-2,2,22.3
2,-1,22.3
1,0,22.3
-5,5,22.3
2,0,22.3
-1,0,22.3
0,0,22.3
1,0,22.3
-1,5,22.3
1,1,22.3
-1,1,22.3
0,0,22.3
1,0,22.3
2,5,22.3
2,3,22.3
-1,1,22.3
0,0,22.3
-1,2,22.3
-1,5,22.3
1,0,22.3
-1,1,22.3
0,0,22.3
0,1,22.3
1,1,22.3
1,0,22.3
-1,1,22.3
1,-1,22.3
1,2,22.3
2,1,22.3
2,-1,22.3
-2,2,22.3
1,-1,22.3
0,1,22.3
3,-2,22.3
0,0,22.3
-1,1,22.3
1,-1,22.3
0,0,22.3
1,1,22.3
2,-1,22.3
-2,1,22.3
0,0,22.3
2,-1,22.3
0,1,22.3
1,0,22.3
0,0,22.3
0,0,22.3
-1,1,22.3
